url,inbound_internal_link_count,outbound_internal_link_count,unique_source_pages,click_depth_from_homepage,reachable_from_homepage,in_degree,out_degree,weak_component_id,component_size,pagerank,topic_cluster,links_from_hubs,links_from_observed_high_traffic_pages,anchor_text_distribution,orphan_status,near_orphan_status,dead_end_status,observed_28d_visitors,observed_high_traffic,link_evidence
https://www.suvroghosh.in/,3372,68,932,0,true,932,19,component-001,935,0.0399092992,site-wide,319,24,home return to the main page → (931) | suvroghosh .in (931) | suvroghosh.in সুভ্র ঘোষ (931) | home (579),linked,false,false,150,true,rendered_dom
https://www.suvroghosh.in/blog,5511,75,931,1,true,931,44,component-001,935,0.0397434318,writing,319,23,essays (1862) | (empty or non-text link) (931) | all posts search the complete archive → (931) | search & archive (931) | blog (548) | all posts (149) | ← all posts (107) | 1 (45) | ← all writing (1) | ← previous (1) | ← writing and archive (1) | all posts ↗ (1) | browse all writing → (1) | browse and search every category → (1) | search the complete archive → (1),linked,false,false,296,true,rendered_dom
https://www.suvroghosh.in/blog/games,3727,45,932,1,true,932,14,component-001,935,0.039308149,games,319,25,games (2794) | games play strange browser games from calcutta → (931) | ← games (1) | games 1 post calcutta footpath simulator: ekdom side diye jaan (1),linked,false,false,3,false,rendered_dom
https://www.suvroghosh.in/blog/personal/containment-breach-protocol,10,61,10,1,true,10,21,component-001,935,0.0043789174,category:personal,6,3,"containment breach: a protocol for intermittent filial contact and the architecture of refusal essays 3 aug 2026 (4) | ← newer post containment breach: a protocol for intermittent filial contact and the architecture of refusal personal · 3 aug 2026 (1) | essays · 3 aug 2026 containment breach: a protocol for intermittent filial contact and the architecture of refusal a recursive, self-reflective monologue on unemployment, maternal melancholy, and the grotesque comedy of being a hermit in the age of rogue ai agents. (1) | older post → containment breach: a protocol for intermittent filial contact and the architecture of refusal personal · 3 aug 2026 (1) | personal · 3 aug 2026 containment breach: a protocol for intermittent filial contact and the architecture of refusal a recursive, self-reflective monologue on unemployment, maternal melancholy, and the grotesque comedy of being a hermit in the age of rogue ai agents. (1) | personal containment breach: a protocol for intermittent filial contact and the architecture of refusal shared topics: existence (1) | personal containment breach: a protocol for intermittent filial contact and the architecture of refusal shared topics: rogue (1)",linked,false,false,6,false,rendered_dom
https://www.suvroghosh.in/blog/visualizations,3743,60,931,1,true,931,29,component-001,935,0.0393576173,visualizations,319,24,lab (1862) | visualizations (947) | visualizations explore the interactive science laboratory → (931) | enter the interactive laboratory → (1) | visualizations 16 posts the landscape of error: an interactive atlas of gradient descent the bias archipelago: why the mind’s errors are not islands the particle that could not make up its mind (1) | visualizations gallery (1),linked,false,false,9,false,rendered_dom
https://www.suvroghosh.in/blog/visualizations/brownian-motion-laboratory,18,62,16,1,true,16,21,component-001,935,0.006347809,category:visualizations,7,4,"the particle that could not make up its mind the lab 4 aug 2026 (3) | visualization visualizations the particle that could not make up its mind updated 4 aug 2026 · 34 min read (2) | visualizations the particle that could not make up its mind shared topics: simulation · physics (2) | ← newer post the particle that could not make up its mind visualizations · 4 aug 2026 (1) | older post → the particle that could not make up its mind visualizations · 4 aug 2026 (1) | physics mathematics the particle that could not make up its mind a hands-on laboratory for brownian motion, drift, confinement, memory, first passage, and the precise laws hidden inside random motion. enter exhibit → (1) | the lab · 4 aug 2026 the particle that could not make up its mind a hands-on laboratory for brownian motion, drift, confinement, memory, first passage, and the precise laws hidden inside random motion. (1) | visualizations · 4 aug 2026 the particle that could not make up its mind a hands-on laboratory for brownian motion, drift, confinement, memory, first passage, and the precise laws hidden inside random motion. (1) | visualizations the particle that could not make up its mind more in visualizations (1) | visualizations the particle that could not make up its mind shared topics: diffusion (1) | visualizations the particle that could not make up its mind shared topics: diffusion · physics (1) | visualizations the particle that could not make up its mind shared topics: mathematics (1) | visualizations the particle that could not make up its mind shared topics: probability (1) | visualizations the particle that could not make up its mind shared topics: simulation (1)",linked,false,false,6,false,rendered_dom
https://www.suvroghosh.in/blog/visualizations/gradient-descent-landscapes,12,61,10,1,true,10,19,component-001,935,0.0056909623,category:visualizations,7,3,"the landscape of error: an interactive atlas of gradient descent the lab 5 aug 2026 (3) | visualization visualizations the landscape of error: an interactive atlas of gradient descent updated 6 aug 2026 · 29 min read (2) | ← newer post the landscape of error: an interactive atlas of gradient descent visualizations · 5 aug 2026 (1) | machine learning mathematics the landscape of error: an interactive atlas of gradient descent drop optimisers into bowls, ravines, saddles, and many-valley terrain; compare their paths, inspect curvature, map basins, and fit a regression line. enter exhibit → (1) | the lab · 5 aug 2026 the landscape of error: an interactive atlas of gradient descent drop optimisers into bowls, ravines, saddles, and many-valley terrain; compare their paths, inspect curvature, map basins, and fit a regression line. (1) | visualizations · 5 aug 2026 the landscape of error: an interactive atlas of gradient descent drop optimisers into bowls, ravines, saddles, and many-valley terrain; compare their paths, inspect curvature, map basins, and fit a regression line. (1) | visualizations the landscape of error: an interactive atlas of gradient descent shared topics: data visualization (1) | visualizations the landscape of error: an interactive atlas of gradient descent shared topics: interactive · data visualization (1) | visualizations the landscape of error: an interactive atlas of gradient descent shared topics: mathematics (1)",linked,false,false,6,false,rendered_dom
https://www.suvroghosh.in/blog/visualizations/the-bias-archipelago,13,61,11,1,true,11,18,component-001,935,0.0058691044,category:visualizations,7,3,"the bias archipelago: why the mind’s errors are not islands the lab 5 aug 2026 (3) | visualization visualizations the bias archipelago: why the mind’s errors are not islands updated 5 aug 2026 · 19 min read (2) | ← newer post the bias archipelago: why the mind’s errors are not islands visualizations · 5 aug 2026 (1) | older post → the bias archipelago: why the mind’s errors are not islands visualizations · 5 aug 2026 (1) | the bias archipelago: why the mind’s errors are not islands an interactive bathymetric atlas of cognitive biases, revealing shared mechanisms, research lineages, and conditions that make one shortcut recruit another. enter exhibit → (1) | the lab · 5 aug 2026 the bias archipelago: why the mind’s errors are not islands an interactive bathymetric atlas of cognitive biases, revealing shared mechanisms, research lineages, and conditions that make one shortcut recruit another. (1) | visualizations · 5 aug 2026 the bias archipelago: why the mind’s errors are not islands an interactive bathymetric atlas of cognitive biases, revealing shared mechanisms, research lineages, and conditions that make one shortcut recruit another. (1) | visualizations the bias archipelago: why the mind’s errors are not islands shared topics: data visualization (1) | visualizations the bias archipelago: why the mind’s errors are not islands shared topics: interactive · data visualization (1) | visualizations the bias archipelago: why the mind’s errors are not islands shared topics: scientific visualization (1)",linked,false,false,2,false,rendered_dom
https://www.suvroghosh.in/consulting,2442,54,931,1,true,931,18,component-001,935,0.0386844375,professional,319,23,healthcare it (931) | healthcare it consulting and systems work → (931) | healthcare it work → (548) | see healthcare it consulting → (28) | healthcare it consulting (2) | consulting (1) | consulting ↗ (1),linked,false,false,11,true,rendered_dom
https://www.suvroghosh.in/contact,2414,45,931,1,true,931,13,component-001,935,0.0380249555,professional,320,23,contact (935) | contact start a conversation → (931) | corrections or enquiries → (548),linked,false,false,10,true,rendered_dom
https://www.suvroghosh.in/healthcare-it-gulf,961,49,931,1,true,931,13,component-001,935,0.0380249555,professional,319,24,gulf & kuwait (931) | gulf & kuwait healthcare it → (28) | gulf / kuwait ↗ (1) | gulf / kuwait opportunities (1),linked,false,false,5,false,rendered_dom
https://www.suvroghosh.in/images,69,55,43,1,true,43,21,component-001,935,0.0023483121,site-wide,1,2,images 581 (42) | 1 (24) | ← previous (1) | images (1) | images ↗ (1),linked,false,false,13,true,rendered_dom
https://www.suvroghosh.in/notes,3725,44,931,1,true,931,14,component-001,935,0.0381923796,notes,320,24,"notes (1862) | handwritten notes (932) | handwritten notes explore ink, diagrams, and field notes → (931)",linked,false,false,4,false,rendered_dom
https://www.suvroghosh.in/projects,3729,60,931,1,true,931,26,component-001,935,0.0392287251,professional,319,24,work (1862) | projects (933) | projects review selected systems work → (931) | projects ↗ (1) | selected projects (1) | view expanded project notes → (1),linked,false,false,9,false,rendered_dom
https://www.suvroghosh.in/resources,3778,133,931,1,true,931,31,component-001,935,0.0394300559,resources,319,24,field kit (2793) | field kit browse reusable prompts and word lists → (931) | ← back to the field kit (18) | the field kit (18) | word lists (10) | prompts (8),linked,false,false,2,false,rendered_dom
https://www.suvroghosh.in/resume,4825,44,931,1,true,931,13,component-001,935,0.0380249555,professional,319,23,resume (2793) | resume experience and capabilities → (931) | résumé → (548) | suvro ghosh (548) | view resume (4) | resume ↗ (1),linked,false,false,16,true,rendered_dom
https://www.suvroghosh.in/start-here,3730,61,931,1,true,931,28,component-001,935,0.0393176317,writing,319,23,"start here (2793) | start here follow five curated reading paths → (931) | 01 orientation begin with the voice three essays about why this site exists, what its author notices, and how small things become a way of thinking. follow path → (1) | 02 healthcare it healthcare systems from first principles start with the human and institutional problems, then move into interoperability and information exchange. follow path → (1) | 03 science & mental models science without ceremonial fog mathematics, probability, and uncertainty explained through queues, myths, and the structures beneath ordinary problems. follow path → (1) | 04 place & memory calcutta, close up tea, schooling, heat, and the city as lived experience rather than scenery. follow path → (1) | 05 short fiction fiction after dark three unsettling stories in which calcutta's streets, houses, and systems acquire lives of their own. follow path → (1) | explore the reading paths → (1)",linked,false,false,11,true,rendered_dom
https://www.suvroghosh.in/topics,3779,68,931,1,true,931,21,component-001,935,0.0389352519,writing,319,24,topics (2793) | topic headquarters follow guided routes through substantial subjects → (931) | browse topic headquarters (46) | topic headquarters (8) | browse topics (1),linked,false,false,5,false,rendered_dom
https://www.suvroghosh.in/topics/songs,24,91,22,1,true,22,34,component-001,935,0.004018281,topic:songs,5,1,"explore music (12) | explore song (3) | songs, synthetic music, and the work of listening listen across bengali, english, and hindi collections, then follow the harder questions of songwriting, synthetic music, authorship, attention, and trust. explore topic → (2) | 17 resources songs, synthetic music, and the work of listening listen across bengali, english, and hindi collections, then follow the harder questions of songwriting, synthetic music, authorship, attention, and trust. start with when nothing beats something updated 26 july 2026 explore topic → (1) | explore ai songs (1) | explore synthetic music (1) | music ↗ (1) | music 15 articles · 10 categories (1) | songs 17 resources (1) | songs17 resources (1)",linked,false,false,7,false,rendered_dom
https://www.suvroghosh.in/writing,2412,65,931,1,true,931,29,component-001,935,0.0393576173,writing,319,23,writing (931) | writing browse the reading room → (931) | more writing → (548) | writings (1) | writings ↗ (1),linked,false,false,34,true,rendered_dom
https://www.suvroghosh.in/blog?page=2,4,81,2,2,true,2,44,component-001,935,0.0009465583,writing,2,1,2 (2) | ← previous (1) | next → (1),linked,false,false,,false,rendered_dom
https://www.suvroghosh.in/blog?page=3,4,81,3,2,true,3,45,component-001,935,0.0009503303,writing,3,1,3 (2) | ← previous (1) | next → (1),linked,false,false,,false,rendered_dom
https://www.suvroghosh.in/blog?page=46,46,77,45,2,true,45,41,component-001,935,0.0010986426,writing,45,1,46 (45) | next → (1),linked,false,false,,false,rendered_dom
https://www.suvroghosh.in/blog/ai-music-song/ai_bengali_songs,16,67,10,2,true,10,23,component-001,935,0.0003421361,category:ai-music-song,6,0,"bengali ai songs ai & technology 27 apr 2026 (5) | ai music song bengali ai songs shared topics: ai (3) | bengali ai songs (3) | song ai music song bengali ai songs a collection of ai-generated bengali songs by suvro ghosh, with the original music videos. 27 apr 2026 (2) | ← newer post bengali ai songs ai music song · 27 apr 2026 (1) | older post → bengali ai songs ai music song · 27 apr 2026 (1) | song ai music song bengali ai songs 27 apr 2026 (1)",linked,false,false,2,false,rendered_dom
https://www.suvroghosh.in/blog/ai-music-song/ai_english_songs,16,67,9,2,true,9,22,component-001,935,0.0003338094,category:ai-music-song,6,0,"english ai songs ai & technology 27 apr 2026 (5) | ai music song english ai songs shared topics: ai (3) | english ai songs (3) | song ai music song english ai songs a collection of ai-generated english songs by suvro ghosh, with the original music videos. 27 apr 2026 (2) | ← newer post english ai songs ai music song · 27 apr 2026 (1) | older post → english ai songs ai music song · 27 apr 2026 (1) | song ai music song english ai songs 27 apr 2026 (1)",linked,false,false,,false,rendered_dom
https://www.suvroghosh.in/blog/ai-music-song/ai_music,16,67,10,2,true,10,23,component-001,935,0.0003320666,category:ai-music-song,6,0,"ai music ai & technology 27 apr 2026 (5) | ai music (3) | ai music song ai music shared topics: ai (3) | song ai music song ai music a reflection on artificial intelligence, music, authorship, and the strange new machinery of creative production. 27 apr 2026 (2) | ← newer post ai music ai music song · 27 apr 2026 (1) | older post → ai music ai music song · 27 apr 2026 (1) | song ai music song ai music 27 apr 2026 (1)",linked,false,false,,false,rendered_dom
https://www.suvroghosh.in/blog/ai-music-song/hindi_ai_songs,16,67,11,2,true,11,24,component-001,935,0.0003437402,category:ai-music-song,6,0,"hindi ai songs ai & technology 27 apr 2026 (5) | ai music song hindi ai songs shared topics: ai (3) | hindi ai songs (3) | song ai music song hindi ai songs a collection of ai-generated hindi songs by suvro ghosh, with the original music videos. 27 apr 2026 (2) | ← newer post hindi ai songs ai music song · 27 apr 2026 (1) | older post → hindi ai songs ai music song · 27 apr 2026 (1) | song ai music song hindi ai songs 27 apr 2026 (1)",linked,false,false,,false,rendered_dom
https://www.suvroghosh.in/blog/archive/2019,95,53,95,2,true,95,19,component-001,935,0.0014502141,writing,95,1,2019 (1) (94) | 2019 (1),linked,false,false,3,false,rendered_dom
https://www.suvroghosh.in/blog/archive/2024,98,60,98,2,true,98,26,component-001,935,0.0014968958,writing,98,1,2024 (5) (94) | 2024 (4),linked,false,false,3,false,rendered_dom
https://www.suvroghosh.in/blog/archive/2025,96,55,96,2,true,96,21,component-001,935,0.0014669064,writing,96,1,2025 (2) (94) | 2025 (2),linked,false,false,,false,rendered_dom
https://www.suvroghosh.in/blog/archive/2026,143,74,142,2,true,142,39,component-001,935,0.0017589544,writing,142,1,2026 (541) (49) | 2026 (48) | 1 (45) | ← previous (1),linked,false,false,8,false,rendered_dom
https://www.suvroghosh.in/blog/artificial-intelligence,23,62,22,2,true,22,27,component-001,935,0.001661512,writing,2,2,artificial intelligence (20) | ← previous (1) | 1 (1) | artificial intelligence 20 posts the machine that ate ten theorems: how openai's unreleased astra model produced ten mathematical advances how systems thinking survives the age of agentic ai the chair and the drain (1),linked,false,false,,false,rendered_dom
https://www.suvroghosh.in/blog/artificial-intelligence/ai-meaningful-work-trust-collapse,30,63,23,2,true,23,23,component-001,935,0.0006413742,category:artificial-intelligence,6,1,"ai, meaningful work, and the trust collapse (8) | ai, meaningful work, and the trust collapse ai & technology 24 jun 2026 (5) | artificial intelligence ai, meaningful work, and the trust collapse shared topics: machine · ai (4) | artificial intelligence ai, meaningful work, and the trust collapse shared topics: human · ai (3) | article artificial intelligence ai, meaningful work, and the trust collapse 24 jun 2026 (2) | ← newer post ai, meaningful work, and the trust collapse artificial intelligence · 24 jun 2026 (1) | article artificial intelligence ai, meaningful work, and the trust collapse a reflection on why artificial intelligence does not merely automate tasks, but corrodes the social machinery that makes work, authorship, and creative attention feel meaningful. 24 jun 2026 (1) | artificial intelligence ai, meaningful work, and the trust collapse shared topics: human · synthetic (1) | artificial intelligence ai, meaningful work, and the trust collapse shared topics: output (1) | artificial intelligence ai, meaningful work, and the trust collapse shared topics: output · ai (1) | artificial intelligence ai, meaningful work, and the trust collapse shared topics: synthetic · ai (1) | authorship (1) | older post → ai, meaningful work, and the trust collapse artificial intelligence · 24 jun 2026 (1)",linked,false,false,2,false,rendered_dom
