requested_url,hop,from_url,status,location_header,to_url,response_time_ms,crawl_elapsed_ms_including_rate_limit,final_url,total_hops,loop_or_error
https://www.suvroghosh.in/blog/artificial-intelligence/ai-meaningful-work-and-the-trust-collapse,1,https://www.suvroghosh.in/blog/artificial-intelligence/ai-meaningful-work-and-the-trust-collapse,308,/blog/artificial-intelligence/ai-meaningful-work-trust-collapse,https://www.suvroghosh.in/blog/artificial-intelligence/ai-meaningful-work-trust-collapse,306.53,2879.6,https://www.suvroghosh.in/blog/artificial-intelligence/ai-meaningful-work-trust-collapse,1,
https://www.suvroghosh.in/blog/career/-a-read-this-first,1,https://www.suvroghosh.in/blog/career/-a-read-this-first,308,/blog/personal/schooling-in-calcutta,https://www.suvroghosh.in/blog/personal/schooling-in-calcutta,360.99,4014.14,https://www.suvroghosh.in/blog/personal/schooling-in-calcutta,1,
https://www.suvroghosh.in/blog/career/intro,1,https://www.suvroghosh.in/blog/career/intro,308,/blog/career/the-new-mantra,https://www.suvroghosh.in/blog/career/the-new-mantra,281.73,3065.33,https://www.suvroghosh.in/blog/career/the-new-mantra,1,
https://www.suvroghosh.in/blog/healthcare-it/-a-read-this-first,1,https://www.suvroghosh.in/blog/healthcare-it/-a-read-this-first,308,/blog/personal/schooling-in-calcutta,https://www.suvroghosh.in/blog/personal/schooling-in-calcutta,314.69,4111.92,https://www.suvroghosh.in/blog/personal/schooling-in-calcutta,1,
https://www.suvroghosh.in/blog/healthcare-it/arrow_uncertainty_medical_care_healthcare_it,1,https://www.suvroghosh.in/blog/healthcare-it/arrow_uncertainty_medical_care_healthcare_it,308,/blog/economics/kenneth-arrow-medical-care,https://www.suvroghosh.in/blog/economics/kenneth-arrow-medical-care,787.86,3732.15,https://www.suvroghosh.in/blog/economics/kenneth-arrow-medical-care,1,
https://www.suvroghosh.in/blog/healthcare-it/confounding-factors,1,https://www.suvroghosh.in/blog/healthcare-it/confounding-factors,308,/blog/healthcare-it/confounding-factors-healthcare-it-analytics,https://www.suvroghosh.in/blog/healthcare-it/confounding-factors-healthcare-it-analytics,337.97,3919.11,https://www.suvroghosh.in/blog/healthcare-it/confounding-factors-healthcare-it-analytics,1,
https://www.suvroghosh.in/blog/healthcare-it/fhir-for-a-curious-student-in-calcutta,1,https://www.suvroghosh.in/blog/healthcare-it/fhir-for-a-curious-student-in-calcutta,308,/blog/healthcare-it/fhir-the-universal-language-of-health-data,https://www.suvroghosh.in/blog/healthcare-it/fhir-the-universal-language-of-health-data,305.82,3330.36,https://www.suvroghosh.in/blog/healthcare-it/fhir-the-universal-language-of-health-data,1,
https://www.suvroghosh.in/blog/healthcare-it/hie-from-first-principles,1,https://www.suvroghosh.in/blog/healthcare-it/hie-from-first-principles,308,/blog/healthcare-it/hie-first-principles-openhie,https://www.suvroghosh.in/blog/healthcare-it/hie-first-principles-openhie,578.78,3023.33,https://www.suvroghosh.in/blog/healthcare-it/hie-first-principles-openhie,1,
https://www.suvroghosh.in/blog/healthcare-it/how-va-healthcare-data-systems-work,1,https://www.suvroghosh.in/blog/healthcare-it/how-va-healthcare-data-systems-work,308,/blog/healthcare-it/va-healthcare-data-systems-mumps-to-sql,https://www.suvroghosh.in/blog/healthcare-it/va-healthcare-data-systems-mumps-to-sql,277.03,3092.38,https://www.suvroghosh.in/blog/healthcare-it/va-healthcare-data-systems-mumps-to-sql,1,
https://www.suvroghosh.in/blog/healthcare-it/latent-space-healthcare-data,1,https://www.suvroghosh.in/blog/healthcare-it/latent-space-healthcare-data,308,/blog/healthcare-it/latent-space-in-healthcare-data,https://www.suvroghosh.in/blog/healthcare-it/latent-space-in-healthcare-data,291.15,3540.71,https://www.suvroghosh.in/blog/healthcare-it/latent-space-in-healthcare-data,1,
https://www.suvroghosh.in/blog/healthcare-it/the-trolley-problem-is-already-hiding-in-healthcare,1,https://www.suvroghosh.in/blog/healthcare-it/the-trolley-problem-is-already-hiding-in-healthcare,308,/blog/healthcare-it/trolley-problem-healthcare-it,https://www.suvroghosh.in/blog/healthcare-it/trolley-problem-healthcare-it,313.37,4077.93,https://www.suvroghosh.in/blog/healthcare-it/trolley-problem-healthcare-it,1,
https://www.suvroghosh.in/blog/personal-essay/trapezoid-for-my-mother,1,https://www.suvroghosh.in/blog/personal-essay/trapezoid-for-my-mother,308,/blog/personal-essay/a-trapezoid-in-low-light,https://www.suvroghosh.in/blog/personal-essay/a-trapezoid-in-low-light,294.5,4049.08,https://www.suvroghosh.in/blog/personal-essay/a-trapezoid-in-low-light,1,
